Channel Number,Channel Name,Start Time,Duration,Program Name
1,Gospel Truth TV,00:00,180,SUMMER FAMILY BIBLE CONFERENCE 2020
1,Gospel Truth TV,03:00,60,CHARIS CHAPEL 3/31/21
1,Gospel Truth TV,04:00,60,BIBLICAL WORLDVIEW
1,Gospel Truth TV,05:00,30,GOSPEL TRUTH 9/06/21
1,Gospel Truth TV,05:30,30,THE WAY THE GARDEN
1,Gospel Truth TV,06:00,30,ROI FOR GOD
1,Gospel Truth TV,06:30,30,WEALTHBUILDER'S
1,Gospel Truth TV,07:00,30,VISION TO REALITY 9/06/21
1,Gospel Truth TV,07:30,30,VISION TO REALITY 9/07/21
1,Gospel Truth TV,08:00,30,VISION TO REALITY 9/08/21
1,Gospel Truth TV,08:30,30,VISION TO REALITY 9/09/21
1,Gospel Truth TV,09:00,60,TRUTH AND LIBERTY 8/30/21
1,Gospel Truth TV,10:00,60,HEALING IS HERE 2021
1,Gospel Truth TV,11:00,150,HEALING IS HERE 2021
1,Gospel Truth TV,13:30,90,CHARIS HEALING UNIVERSITY
1,Gospel Truth TV,15:00,60,CHARIS CHAPEL 3/31/21
1,Gospel Truth TV,16:00,60,BIBLICAL WORLDVIEW
1,Gospel Truth TV,17:00,30,GOSPEL TRUTH 9/06/21
1,Gospel Truth TV,17:30,30,THE WAY THE GARDEN
1,Gospel Truth TV,18:00,30,ROI FOR GOD
1,Gospel Truth TV,18:30,30,WEALTHBUILDER'S
1,Gospel Truth TV,19:00,30,VISION TO REALITY 9/06/21
1,Gospel Truth TV,19:30,30,VISION TO REALITY 9/07/21
1,Gospel Truth TV,20:00,30,VISION TO REALITY 9/08/21
1,Gospel Truth TV,20:30,30,VISION TO REALITY 9/09/21
1,Gospel Truth TV,21:00,60,TRUTH AND LIBERTY 8/30/21
1,Gospel Truth TV,22:00,60,HEALING IS HERE 2021
1,Gospel Truth TV,23:00,60,SUMMER FAMILY BIBLE CONFERENCE 2021
2,NRB Network,00:00,30,John MacArthur - Grace to You
2,NRB Network,00:30,30,D. James Kennedy Min.-Truths That Transform
2,NRB Network,01:00,30,Jim Cantelon Today
2,NRB Network,01:30,30,Dr. Marla
2,NRB Network,02:00,60,Rejoice in The Lord
2,NRB Network,03:00,30,Dr. Wonder's Workshop
2,NRB Network,03:30,30,Superbook
2,NRB Network,04:00,30,Lessons from The Bible
2,NRB Network,04:30,30,Sing God's Word
2,NRB Network,05:00,30,Gospel Time Square
2,NRB Network,05:30,30,Awesome Sci TV
2,NRB Network,06:00,30,Adventures with Ranger Joe
2,NRB Network,06:30,30,Kids' Bible Zone
2,NRB Network,07:00,60,Art with Barry Stebbing
2,NRB Network,08:00,30,The Fresh Table: Real Food for Fruitful Living
2,NRB Network,08:30,30,God Is The Master Artist
2,NRB Network,09:00,60,Steven Lawson Bible Studies
2,NRB Network,10:00,30,Bethlehem College & Seminary
2,NRB Network,10:30,30,IRBS Theological Seminary
2,NRB Network,11:00,60,C.S. Lewis Institute Programs
2,NRB Network,12:00,45,Southern Baptist Seminary Chapel
2,NRB Network,13:00,60,Agtv Teaching Hour
2,NRB Network,14:00,30,Dordt University Chapels
2,NRB Network,14:30,30,Debunked TV
2,NRB Network,15:00,30,The Marrow Show
2,NRB Network,15:30,30,CrossPolitic
2,NRB Network,16:00,30,TrueU
2,NRB Network,16:30,30,Missions Dilemma
2,NRB Network,17:00,30,Israel: The Prophetic Connection
2,NRB Network,17:30,30,Carroll Roberson
2,NRB Network,18:00,30,D. James Kennedy Min.-Truths That Transform
